query time,processing time,input event instants,input state intervals,input dynamic phe. intervals,user event instances,user event instants,user state instances,user state intervals,user dynamic phe. instances,user dynamic phe. intervals
1446033601,586,40345,0,0,119,39998,3108,4888,23,34
1446040801,519,29605,0,0,106,29325,3090,4355,19,27
1446048001,482,17716,0,0,92,17562,3058,3879,5,9
1446055201,426,8458,0,0,73,8404,3033,3445,1,3
1446062401,372,4,0,0,3,3,3010,3010,0,0
1446069601,323,5,0,0,4,4,3010,3010,0,0
1446076801,320,6,0,0,5,5,3010,3010,0,0
1446084001,313,7,0,0,5,5,3011,3011,0,0
1446091201,312,8,0,0,5,6,3011,3012,0,0
1446098401,315,9,0,0,6,7,3011,3012,0,0
1446105601,317,10,0,0,6,8,3011,3012,0,0
1446112801,465,9265,0,0,105,9107,3107,3794,46,86
1446120001,501,17840,0,0,140,17590,3138,4303,43,105
1446127201,574,27049,0,0,166,26733,3168,4772,61,136
1446134401,582,35734,0,0,192,35301,3203,5243,78,169
1446141601,574,34336,0,0,195,33958,3224,5077,79,110
1446148801,540,31605,0,0,173,31281,3210,4977,64,86
1446156001,507,26849,0,0,132,26582,3169,4918,48,64
1446163201,500,22495,0,0,98,22338,3135,4823,30,38
1446170401,472,19693,0,0,80,19621,3115,4658,1,9
1446177601,488,20347,0,0,65,20279,3116,4721,3,17
1446184801,507,25274,0,0,75,25177,3129,4830,7,20
1446192001,536,29268,0,0,91,29108,3152,4892,18,40
1446199201,551,31927,0,0,104,31711,3170,4796,26,58
1446206401,584,34433,0,0,110,34185,3193,4658,34,92
1446213601,612,32485,0,0,114,32196,3191,4794,43,281
1446220801,634,33308,0,0,140,32957,3212,4850,37,300
1446228001,639,32178,0,0,153,31814,3218,4875,37,299
1446235201,625,30861,0,0,159,30501,3224,4923,35,266
1446242401,561,29570,0,0,146,29256,3208,4481,32,76
1446249601,506,25493,0,0,131,25259,3191,4214,13,21
1446256801,489,24250,0,0,107,24052,3180,4165,6,13
1446264001,500,23414,0,0,94,23238,3180,4133,5,12
1446271201,517,23395,0,0,113,23200,3205,4440,6,17
1446278401,537,24500,0,0,125,24285,3230,4624,9,29
1446285601,523,25670,0,0,136,25420,3259,4523,32,51
1446292801,508,24455,0,0,142,24209,3267,4344,32,46
1446300001,521,24540,0,0,142,24309,3281,3988,34,44
1446307201,498,23284,0,0,129,23087,3276,3799,35,36
1446314401,505,22182,0,0,119,22037,3275,3855,21,21
1446321601,478,21876,0,0,117,21729,3279,3899,32,32
1446328801,462,20771,0,0,105,20629,3274,3893,23,23
1446336001,448,20077,0,0,96,19931,3267,3891,16,16
1446343201,461,19330,0,0,94,19154,3265,3840,12,12
1446350401,465,18808,0,0,105,18626,3277,3859,1,1
1446357601,459,18915,0,0,117,18726,3285,3987,7,7
1446364801,696,22976,0,0,136,22768,3305,4082,16,27
1446372001,799,26737,0,0,151,26496,3331,4217,29,42
1446379201,932,31240,0,0,180,30883,3381,4388,22,35
1446386401,1187,34742,0,0,221,34237,3429,4413,27,41
1446393601,646,35226,0,0,226,34618,3446,4406,21,27
1446400801,661,34349,0,0,243,33736,3475,4533,68,77
1446408001,561,31527,0,0,223,30990,3469,4519,70,83
1446415201,525,27883,0,0,185,27471,3443,4420,67,75
1446422401,502,24636,0,0,167,24323,3421,4372,47,56
